path	category	source_commit	source_tree	sha256	physical_lines	bytes	purpose
apps/frontend/src/console/hooks.ts	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	4eb71a003d0209dcdb312ac65a9b893bf04d03d2efc116d8deb2724229a1b5f2	361	12067	INTEGRATION-003 fixed product/test evidence
apps/frontend/src/shared/api.ts	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	c964777b8490a2a3e3df63cc2fd2d1f68959e21ba7057d394dbe5a24533b0c7b	172	4619	INTEGRATION-003 fixed product/test evidence
apps/studio/app/main.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	9d997de46b16d65912fd56898c1080a219461b7cdc4631a65c104970d9bc7c01	799	28043	INTEGRATION-003 fixed product/test evidence
fantasy_agent/approval_manifest.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	02dc946b5d4697443100554cd046a97649eff7df7f64d7a0ad2fbaef94074258	106	3821	INTEGRATION-003 fixed product/test evidence
fantasy_agent/artifact_identity.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	6b9947d5eae362057d9e19153e596a17898fded503a7b959380dac3233a4667e	17	471	INTEGRATION-003 fixed product/test evidence
fantasy_agent/contracts.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	064180959b4cc491d4637985e4b05174ac6e834c14e17e28a5d86e4fe58b8b16	1060	34335	INTEGRATION-003 fixed product/test evidence
fantasy_agent/executor.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	956acdc07b8f71b0ed217c20acd93de2a84faa173c70ab373ce3759f38c15a92	1296	47549	INTEGRATION-003 fixed product/test evidence
fantasy_agent/workflows.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	7ec026007ddca43f5aa5a322d3e4f5a2dbba38eab6dea44d45d0cd04d0580b8b	1336	57409	INTEGRATION-003 fixed product/test evidence
tests/frontend_approval_manifest_api.test.mjs	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	186dfe7107892b397df746092dab1eda7d07d08afd9bed6d9da2a6f997db3265	36	1077	INTEGRATION-003 fixed product/test evidence
tests/test_approval_identity_integration.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	c3a7bcae47e4f3e892fcb72178b45ec767358c7a2622312e197b9a31d0ee69e5	95	3417	INTEGRATION-003 fixed product/test evidence
tests/test_creative_review_agent.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	5b63d6003c7243f28f6a1459004fda519deb83d12e51ac926384b3bf28b7c0a6	436	15113	INTEGRATION-003 fixed product/test evidence
tests/test_executor.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	6864c636ff106393aff278a23acc2b6b9a0d3949c94e9ed359a99bf8db18aa4b	1113	41470	INTEGRATION-003 fixed product/test evidence
tests/test_production_spec_runtime.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	c5cb0d89f04d60109bbea863f47c8a21c92702365f106c78e6886c0e008c5fb8	340	12320	INTEGRATION-003 fixed product/test evidence
tests/test_studio_app.py	PRODUCT	52173e08ae267700ef62e7e563ab6a50523981ad	82df778e7401f5b0fccacbd81b124664fea080f9	71eba0a1b5b67cde6287430b663456356b164d3b706063429e44e9b52fef0e9e	494	19828	INTEGRATION-003 fixed product/test evidence
